Date,group,Site,Family,plant,ind,pH,wt,co,do,
9る2ら,9 ,pond 2,Baetidae,1,2,7.04,28.33,2.32,1.97,
9る2ら,9 ,pond 2,Coenagrionidae,1,1,7.04,28.33,2.32,1.97,
9る2ら,9 ,pond 2,Libellulidae,1,1,7.04,28.33,2.32,1.97,
9る2ら,9 ,pond 2,Chironomidae,1,1,7.04,28.33,2.32,1.97,
9る2ら,9 ,pond 3,Chironomidae,0,2,7.42,27.9,2.48,2.17,
9る2ら,9 ,pond 3,Coenagrionidae,1,2,7.09,26.07,2.3,1.37,
9る2ら,9 ,pond 3,Chironomidae,1,12,7.09,26.07,2.3,1.37,
9る2ら,9 ,pond 4,Chironomidae,0,14,7.75,26.97,2.29,3.57,
9る2ら,9 ,pond 4,Baetidae,1,2,6.99,25.97,2.33,1.2,
9る2ら,9 ,pond 4,Coenagrionidae,1,1,6.99,25.97,2.33,1.2,
9る2ら,9 ,pond 4,Chironomidae,1,12,6.99,25.97,2.33,1.2,
9る16ら,10 ,pond 2,Chironomidae,0,1,7.48,26.87,3.48,2.97,
9る16ら,10 ,pond 2,Libellulidae,1,1,7.15,26.87,3.47,0.87,
9る16ら,10 ,pond 2,Chironomidae,1,5,7.15,26.87,3.47,0.87,
9る16ら,10 ,pond 3,Chironomidae,0,3,7.32,26.57,2.72,3.17,
9る16ら,10 ,pond 3,Coenagrionidae,1,1,7.1,26.67,2.72,1.23,
9る16ら,10 ,pond 4,Chironomidae,0,2,7.23,26.1,2.62,3.37,
9る16ら,10 ,pond 4,Baetidae,1,5,6.8,26.27,2.39,3.3,
9る16ら,10 ,pond 4,Coenagrionidae,1,4,6.8,26.27,2.39,3.3,
9る16ら,10 ,pond 4,Chironomidae,1,30,6.8,26.27,2.39,3.3,
9る30ら,11 ,pond 2,Chironomidae,0,8,8.22,25,2.48,5.63,
9る30ら,11 ,pond 3,Chironomidae,0,5,7.53,25,2.48,5.8,
9る30ら,11 ,pond 4,Chironomidae,0,1,7.47,22.83,2.37,4.47,
9る30ら,11 ,pond 2,Baetidae,1,1,7.11,25.47,2.12,2.3,
9る30ら,11 ,pond 4,Baetidae,1,1,7.12,22.47,2.18,1.9,
9る30ら,11 ,pond 2,Chironomidae,1,5,7.11,25.47,2.12,2.3,
9る30ら,11 ,pond 2,Coenagrionidae,1,1,7.11,25.47,2.12,2.3,
9る30ら,11 ,pond 3,Chironomidae,1,6,7.18,21.97,2.35,2.17,
9る30ら,11 ,pond 4,Chironomidae,1,15,7.12,22.47,2.18,1.9,
9る30ら,11 ,pond 4,Culicidae,1,1,7.12,22.47,2.18,1.9,
9る30ら,11 ,pond 4,Coenagrionidae,1,11,7.12,22.47,2.18,1.9,
